idade,qtd_idade
40 - 49 anos,776
30 - 39 anos,772
30 - 39 anos,769
30 - 39 anos,758
40 - 49 anos,729
30 - 39 anos,721
40 - 49 anos,715
40 - 49 anos,713
30 - 39 anos,712
30 - 39 anos,708
30 - 39 anos,692
30 - 39 anos,690
40 - 49 anos,670
30 - 39 anos,648
40 - 49 anos,637
40 - 49 anos,627
40 - 49 anos,622
30 - 39 anos,608
20 - 29 anos,596
50 - 59 anos,594
20 - 29 anos,590
20 - 29 anos,580
40 - 49 anos,579
40 - 49 anos,575
20 - 29 anos,569
50 - 59 anos,550
50 - 59 anos,546
20 - 29 anos,540
50 - 59 anos,530
20 - 29 anos,530
50 - 59 anos,517
50 - 59 anos,513
50 - 59 anos,495
20 - 29 anos,471
20 - 29 anos,461
50 - 59 anos,458
Maior que 60 anos,434
50 - 59 anos,430
50 - 59 anos,429
20 - 29 anos,412
20 - 29 anos,388
Maior que 60 anos,384
10 - 19 anos,377
Maior que 60 anos,347
Maior que 60 anos,314
10 - 19 anos,303
Maior que 60 anos,280
Maior que 60 anos,270
10 - 19 anos,259
10 - 19 anos,250
10 - 19 anos,243
Maior que 60 anos,240
10 - 19 anos,234
Maior que 60 anos,226
Maior que 60 anos,212
Maior que 60 anos,186
Maior que 60 anos,184
Maior que 60 anos,183
Maior que 60 anos,176
10 - 19 anos,169
10 - 19 anos,164
Maior que 60 anos,159
10 - 19 anos,152
10 - 19 anos,151
0 - 10 anos,134
0 - 10 anos,131
0 - 10 anos,129
0 - 10 anos,125
Maior que 60 anos,123
0 - 10 anos,121
0 - 10 anos,119
0 - 10 anos,114
Maior que 60 anos,105
0 - 10 anos,104
Maior que 60 anos,104
0 - 10 anos,100
Maior que 60 anos,83
Maior que 60 anos,82
Maior que 60 anos,77
Maior que 60 anos,72
Maior que 60 anos,64
Maior que 60 anos,54
Maior que 60 anos,53
0 - 10 anos,44
Maior que 60 anos,43
Maior que 60 anos,39
Maior que 60 anos,37
Maior que 60 anos,35
Maior que 60 anos,33
Maior que 60 anos,33
Maior que 60 anos,28
Maior que 60 anos,12
Maior que 60 anos,10
Maior que 60 anos,9
Maior que 60 anos,9
Maior que 60 anos,7
Maior que 60 anos,5
Maior que 60 anos,2
