uf,questao_permaneceu_casa,qtd_testes_validos
Rio de Janeiro,Sim,53
Paraná,Sim,36
São Paulo,Sim,79
Rondônia,Sim,8
Amazonas,Sim,63
Mato Grosso,Sim,26
Sergipe,Sim,28
Alagoas,Sim,24
Tocantins,Sim,17
Minas Gerais,Sim,45
Ceará,Sim,42
Goiás,Sim,100
Paraíba,Sim,24
Bahia,Sim,48
Roraima,Sim,31
Maranhão,Sim,107
Mato Grosso do Sul,Sim,8
Rio Grande do Sul,Sim,42
Piauí,Sim,33
Pará,Sim,44
Santa Catarina,Sim,26
Rio Grande do Norte,Sim,19
Acre,Sim,28
Espírito Santo,Sim,35
Amapá,Sim,24
Distrito Federal,Sim,31
Pernambuco,Sim,18
