regiao,uf,faixa_rendimento,qtd_testes_positivos
Centro-Oeste,Goiás,801 - 1.600,529
Centro-Oeste,Goiás,1.601 - 3.000,417
Centro-Oeste,Mato Grosso,801 - 1.600,278
Centro-Oeste,Mato Grosso,1.601 - 3.000,270
Centro-Oeste,Distrito Federal,3.001 - 10.000,212
Centro-Oeste,Goiás,3.001 - 10.000,199
Centro-Oeste,Distrito Federal,801 - 1.600,185
Centro-Oeste,Mato Grosso,3.001 - 10.000,172
Centro-Oeste,Mato Grosso do Sul,801 - 1.600,169
Centro-Oeste,Distrito Federal,1.601 - 3.000,157
Centro-Oeste,Mato Grosso do Sul,1.601 - 3.000,119
Centro-Oeste,Mato Grosso do Sul,3.001 - 10.000,89
Centro-Oeste,Distrito Federal,10.001 - 50.000,75
Centro-Oeste,Goiás,301 - 600,35
Centro-Oeste,Goiás,601 - 800,27
Centro-Oeste,Goiás,10.001 - 50.000,27
Centro-Oeste,Mato Grosso,10.001 - 50.000,18
Centro-Oeste,Distrito Federal,301 - 600,16
Centro-Oeste,Distrito Federal,601 - 800,13
Centro-Oeste,Mato Grosso do Sul,601 - 800,10
Centro-Oeste,Mato Grosso do Sul,10.001 - 50.000,10
Centro-Oeste,Mato Grosso,301 - 600,9
Centro-Oeste,Mato Grosso,601 - 800,5
Centro-Oeste,Goiás,101 - 300,5
Centro-Oeste,Mato Grosso,101 - 300,4
Centro-Oeste,Distrito Federal,101 - 300,3
Centro-Oeste,Mato Grosso do Sul,101 - 300,2
Centro-Oeste,Mato Grosso do Sul,301 - 600,1
Centro-Oeste,Goiás,0 - 100,1
Nordeste,Maranhão,801 - 1.600,545
Nordeste,Ceará,801 - 1.600,336
Nordeste,Bahia,801 - 1.600,309
Nordeste,Piauí,801 - 1.600,272
Nordeste,Alagoas,801 - 1.600,246
Nordeste,Sergipe,801 - 1.600,218
Nordeste,Pernambuco,801 - 1.600,205
Nordeste,Paraíba,801 - 1.600,187
Nordeste,Maranhão,1.601 - 3.000,186
Nordeste,Rio Grande do Norte,801 - 1.600,174
Nordeste,Ceará,1.601 - 3.000,171
Nordeste,Maranhão,3.001 - 10.000,157
Nordeste,Bahia,1.601 - 3.000,118
Nordeste,Pernambuco,1.601 - 3.000,113
Nordeste,Paraíba,1.601 - 3.000,110
Nordeste,Pernambuco,3.001 - 10.000,106
Nordeste,Ceará,3.001 - 10.000,105
Nordeste,Sergipe,1.601 - 3.000,93
Nordeste,Bahia,3.001 - 10.000,91
Nordeste,Sergipe,3.001 - 10.000,88
Nordeste,Alagoas,1.601 - 3.000,85
Nordeste,Piauí,1.601 - 3.000,80
Nordeste,Paraíba,3.001 - 10.000,80
Nordeste,Rio Grande do Norte,3.001 - 10.000,74
Nordeste,Alagoas,3.001 - 10.000,64
Nordeste,Piauí,3.001 - 10.000,61
Nordeste,Maranhão,301 - 600,61
Nordeste,Rio Grande do Norte,1.601 - 3.000,57
Nordeste,Ceará,301 - 600,52
Nordeste,Maranhão,601 - 800,37
Nordeste,Maranhão,101 - 300,37
Nordeste,Ceará,101 - 300,34
Nordeste,Paraíba,301 - 600,33
Nordeste,Rio Grande do Norte,301 - 600,31
Nordeste,Bahia,301 - 600,31
Nordeste,Alagoas,301 - 600,31
Nordeste,Sergipe,301 - 600,26
Nordeste,Ceará,601 - 800,22
Nordeste,Pernambuco,301 - 600,21
